,nama,jarak tempuh,nama dealer,rate,banyak review,harga
180,2020 Mercedes-Benz CLS 450 Base,"41,328 mi.",Mercedes-Benz of Houston North,4.5,"(1,757 reviews)","$54,597"
181,2023 Mercedes-Benz S-Class S 500 4MATIC,"2,865 mi.",Mercedes-Benz Of Tampa,4.1,"(3,520 reviews)","$107,370"
182,2021 Mercedes-Benz GLC 300 Base,"13,417 mi.",Mercedes-Benz of Bonita Springs,5.0,"(2,197 reviews)","$37,595"
183,2020 Mercedes-Benz GLS 580 Base 4MATIC,"7,496 mi.",Feldmann Imports,4.4,(640 reviews),"$84,886"
184,2021 Mercedes-Benz AMG A 35 Base,"23,886 mi.",Mercedes-Benz of Edison,5.0,"(3,933 reviews)","$44,996"
185,2020 Mercedes-Benz AMG C 43 Base 4MATIC,"28,641 mi.",Mercedes-Benz of Atlanta Northeast,4.7,"(2,032 reviews)","$47,998"
186,2019 Mercedes-Benz AMG C 43 Base 4MATIC,"25,502 mi.",Mercedes-Benz of Stockton,4.0,(127 reviews),"$49,995"
187,2023 Mercedes-Benz CLA 250 Base 4MATIC,"4,830 mi.",Crown Eurocars of Dublin,4.9,"(2,699 reviews)","$46,000"
188,2020 Mercedes-Benz S-Class S 560 4MATIC,"32,640 mi.",Mercedes-Benz of Wilmington,4.5,"(1,793 reviews)","$71,900"
189,2021 Mercedes-Benz AMG GT 63 4-Door,"11,115 mi.",Mercedes-Benz Doylestown,4.4,(474 reviews),"$126,198"
190,2023 Mercedes-Benz S-Class S 500 4MATIC,"2,461 mi.",Mercedes-Benz of Ft. Pierce,3.9,(243 reviews),"$102,885"
191,2019 Mercedes-Benz AMG GT 53 Base,"49,760 mi.",RBM of Atlanta,4.1,"(1,028 reviews)","$75,444"
192,2021 Mercedes-Benz G-Class G 550 4MATIC,"6,363 mi.","Viti, Inc.",4.9,(742 reviews),"$159,988"
193,2022 Mercedes-Benz AMG GLC 43 Base 4MATIC,"19,050 mi.",Mercedes-Benz of Easton,4.6,(682 reviews),"$60,987"
194,2022 Mercedes-Benz GLE 580 AWD 4MATIC,"6,333 mi.",Mercedes-Benz of White Plains,4.3,"(1,645 reviews)","$86,995"
